H,W,r1,r2,r3,r4,r5
87,89,1.0,1.3,5.2,7.3,1.8
97,93,1.3,3.8,2.1,1.3,6.6
99,80,1.1,4.3,5.8,1.7,5.2
87,76,1.2,1.3,9.9,3.4,4.0
93,88,8.5,6.9,2.5,2.1,9.2
83,96,7.2,3.6,8.7,1.1,1.1
92,97,1.2,1.7,5.1,1.2,5.4
87,92,3.4,1.0,1.5,4.0,1.1
87,78,1.0,1.3,2.8,7.9,9.1
86,86,4.7,1.9,1.1,1.0,4.7
95,91,4.8,2.6,4.9,1.4,4.9
88,93,1.1,6.5,5.3,5.3,3.2
99,80,1.8,1.5,1.0,8.4,1.1
90,90,2.3,1.0,7.4,2.3,3.7
92,91,5.3,2.1,2.5,1.5,9.4
82,78,1.2,9.0,2.1,5.8,8.5
92,84,9.0,5.9,1.5,7.1,6.2
84,80,5.6,7.4,2.2,2.7,2.1
80,91,2.4,4.9,2.2,2.1,1.3
99,75,3.7,3.8,1.1,8.2,1.1
90,77,5.5,8.0,5.4,1.6,8.5
89,83,7.5,1.5,6.5,1.0,8.0
81,89,8.5,9.9,1.0,8.8,3.4
98,88,1.6,4.8,2.9,4.6,3.4
80,93,6.8,7.9,1.8,4.3,1.1
82,95,7.8,8.1,5.3,8.6,2.5
79,79,1.5,1.0,1.5,8.8,5.9
97,90,2.9,1.9,2.3,4.7,6.9
78,93,1.0,4.8,2.8,1.4,4.6
75,95,3.5,2.2,2.6,1.6,2.8
99,93,3.4,2.9,1.0,4.5,5.7
86,92,5.8,1.2,4.3,7.7,1.0
94,98,1.1,2.8,2.7,4.5,2.2
84,82,4.2,1.3,9.4,8.0,1.1
92,97,4.3,3.2,6.7,1.3,2.1
81,80,6.2,9.0,3.1,1.0,4.2
83,87,1.0,1.9,7.6,2.5,4.0
92,96,7.3,6.3,1.7,1.8,7.1
89,81,1.0,2.0,2.4,6.8,8.2
93,91,7.1,1.0,6.5,1.0,1.2
93,81,3.7,1.0,1.0,1.2,2.0
89,80,8.7,1.6,5.3,6.2,10.0
94,84,2.0,6.0,1.9,2.3,5.3
84,77,3.9,1.3,3.0,8.9,2.8
90,82,4.3,5.2,7.1,1.9,1.7
82,86,4.1,8.0,10.0,2.3,1.1
95,88,5.8,4.6,4.8,8.2,3.6
79,78,9.5,1.5,1.5,5.0,3.1
92,92,3.2,1.1,8.1,1.4,2.7
97,98,4.0,7.7,5.2,3.1,2.8
77,86,2.7,3.0,1.8,8.1,1.0
77,91,2.5,7.4,1.9,7.6,1.0
99,99,9.5,1.0,8.6,4.9,3.1
83,97,1.1,7.6,1.7,3.4,3.6
96,75,8.2,1.1,7.7,8.5,6.3
75,83,4.5,1.2,7.1,1.0,5.4
89,80,4.4,7.6,5.6,4.7,5.2
86,84,1.1,1.0,2.8,4.5,1.9
88,92,1.0,4.7,7.4,6.3,1.0
84,87,2.5,1.3,8.2,8.9,1.1
80,75,3.4,6.8,2.4,1.8,2.7
86,98,1.0,1.6,1.0,3.5,6.5
95,97,2.2,3.5,7.1,6.1,2.0
92,97,1.0,4.9,2.1,1.9,8.3
83,99,5.2,4.0,9.8,1.5,1.0
76,97,5.8,5.6,6.4,6.2,1.1
85,84,3.1,4.0,1.0,8.9,4.2
84,99,1.8,1.5,9.7,2.5,4.4
75,89,1.1,2.2,1.8,1.2,2.1
98,94,8.4,1.0,2.2,2.0,1.2
96,75,1.4,3.2,9.2,1.0,6.2
82,89,1.1,4.6,2.1,3.8,6.8
98,90,1.0,2.6,1.6,6.5,6.8
89,86,1.2,2.1,3.3,3.9,1.0
91,82,4.2,4.3,3.0,5.0,4.2
95,83,1.7,1.7,2.8,8.4,1.4
99,78,3.3,3.8,1.1,1.2,4.3
94,81,1.0,1.4,1.8,1.7,1.1
96,75,5.1,5.0,1.5,1.1,2.5
77,75,9.4,1.0,1.0,1.1,5.5
96,96,1.0,4.2,3.7,6.9,6.2
84,87,1.7,4.4,4.7,3.1,8.7
92,94,1.8,5.5,1.6,9.6,1.9
93,75,1.3,1.0,1.8,1.6,1.0
87,79,8.3,7.4,7.2,3.1,8.3
80,82,2.0,7.9,1.6,3.0,3.9
86,92,2.3,4.5,6.1,8.6,1.6
77,99,3.2,9.6,9.0,2.6,2.4
86,87,4.5,1.6,9.8,1.0,1.1
90,96,9.9,3.2,8.3,5.4,1.4
98,77,2.6,6.7,4.9,8.2,1.3
89,83,1.9,2.4,9.6,7.1,2.8
85,89,3.0,2.1,7.5,6.3,2.1
87,85,5.0,3.5,9.7,7.4,2.4
83,91,3.1,2.6,6.8,7.8,7.3
90,83,7.3,2.2,1.6,2.1,6.3
99,77,5.0,6.4,3.2,4.8,3.5
86,75,4.6,2.7,6.5,2.3,1.2
81,96,2.6,4.8,1.6,2.2,3.9
89,77,1.1,1.1,2.2,4.1,2.4
