H,W,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10
100,79,2.8,1.4,3.1,2.3,3.6,1.1,1.4,1.5,2.0,2.0
100,94,1.1,1.5,3.6,1.4,2.1,1.3,1.1,1.1,2.2,1.0
100,80,3.3,1.2,1.2,2.3,4.3,2.1,1.6,2.1,4.5,3.9
100,58,2.1,2.0,1.5,1.0,2.3,1.6,4.3,3.6,1.1,3.0
100,67,2.5,1.3,4.9,1.3,3.7,2.4,3.1,4.7,1.0,1.8
100,94,2.9,1.4,1.5,3.2,2.6,1.2,4.9,1.6,3.1,1.4
100,82,1.6,1.5,1.0,1.5,2.0,1.6,1.5,2.0,1.0,1.2
100,56,3.6,2.8,1.1,2.1,3.4,1.4,1.7,1.6,4.8,2.2
100,95,1.1,1.3,1.0,1.0,2.4,3.0,1.4,3.1,3.7,1.7
100,59,1.0,2.7,2.8,2.2,1.5,1.0,1.1,4.8,1.0,1.9
100,52,2.8,1.2,4.8,1.6,4.8,2.7,3.1,2.7,1.0,3.3
100,85,2.0,1.7,2.3,1.0,3.8,4.7,1.1,1.4,4.0,1.0
100,78,1.4,1.6,4.2,1.0,2.6,3.7,1.3,1.1,2.6,3.1
100,81,3.9,3.3,3.9,1.0,4.7,3.3,3.7,3.2,3.8,1.7
100,73,2.9,1.2,1.8,1.4,4.5,3.7,2.2,1.9,2.0,1.5
100,96,2.2,1.2,1.0,1.0,2.6,2.8,2.2,2.1,4.3,1.1
100,52,3.2,1.7,4.4,3.1,3.2,2.4,1.5,2.7,1.5,2.3
100,94,1.3,2.7,4.9,1.3,2.5,1.3,2.8,4.4,1.0,4.1
100,61,1.1,4.3,2.4,1.8,1.1,1.2,2.1,2.0,1.3,4.0
100,68,3.3,3.5,2.5,2.1,1.1,2.7,3.3,2.0,2.9,3.8
100,77,3.1,1.6,3.7,3.9,3.1,1.4,1.7,4.9,1.0,1.6
100,65,1.5,4.1,1.0,2.6,4.1,3.9,4.6,1.4,4.8,1.1
100,67,1.0,2.3,1.0,1.0,1.5,3.3,1.0,2.1,1.8,1.9
100,83,1.6,1.1,3.5,3.6,2.1,1.3,3.6,1.8,4.2,1.0
100,83,1.1,1.3,1.2,4.3,1.5,1.4,2.7,1.5,1.4,1.3
100,87,1.8,2.2,1.4,1.0,1.1,1.1,2.4,1.0,1.6,3.2
100,53,1.4,2.8,1.5,4.0,1.1,4.5,5.0,1.6,4.0,3.6
100,75,1.2,4.8,2.4,1.0,1.2,2.8,1.2,1.1,1.8,1.1
100,53,2.1,2.6,3.7,3.3,3.9,1.9,3.4,4.4,1.1,1.3
100,73,1.5,4.3,4.8,2.6,3.7,1.8,4.3,3.6,1.4,1.0
100,59,1.5,1.1,1.6,1.2,4.7,4.5,1.0,3.9,1.1,1.0
100,59,1.4,4.7,4.0,2.7,1.1,4.6,1.9,2.3,1.3,4.7
100,61,1.0,4.3,1.6,4.0,1.2,2.1,1.2,1.1,4.9,1.9
100,81,1.0,4.7,4.0,1.6,2.7,2.3,4.9,3.5,2.3,3.2
100,72,2.3,4.8,4.4,3.7,2.0,4.3,3.3,2.6,4.0,4.3
100,87,1.3,1.0,1.6,2.8,1.0,1.7,2.1,4.6,1.4,4.0
100,57,2.9,3.6,1.2,4.0,1.0,2.4,2.2,4.3,1.4,1.0
100,64,1.6,1.1,3.2,1.1,4.3,1.2,1.1,1.0,1.8,1.3
100,62,1.1,3.0,4.2,1.5,1.8,1.0,1.9,1.5,1.0,1.1
100,72,4.3,4.5,3.4,1.5,1.0,4.3,3.8,1.3,1.7,3.1
100,64,3.2,2.9,4.6,1.0,1.5,1.0,1.9,4.8,1.5,1.1
100,93,3.0,1.7,3.2,1.7,4.2,4.7,3.1,1.0,2.5,1.0
100,83,3.2,1.5,1.2,1.2,4.8,2.7,1.6,4.8,1.8,2.7
100,66,3.0,1.4,4.7,1.0,3.9,1.4,1.7,3.5,1.1,1.5
100,89,4.9,2.8,3.4,1.3,1.7,1.8,1.3,3.7,1.0,1.6
100,62,2.6,2.2,1.6,1.8,1.4,2.0,1.2,4.8,1.7,1.0
100,98,1.7,2.5,3.9,2.2,1.2,1.1,1.9,1.3,4.8,1.6
100,90,1.3,1.2,1.9,1.0,2.4,1.1,1.1,3.7,4.5,2.4
100,57,2.7,4.4,1.8,1.3,3.5,1.4,1.0,2.2,1.1,4.5
100,91,1.8,1.0,3.8,4.6,2.3,1.0,4.4,1.4,1.9,2.2
100,75,1.2,2.9,2.1,2.1,1.5,3.9,3.6,2.4,1.2,1.0
100,52,1.4,3.0,1.8,3.0,4.7,1.5,3.8,4.2,1.2,2.3
100,57,5.0,3.7,2.5,2.2,3.8,1.8,4.2,3.3,2.6,2.0
100,80,1.1,2.5,3.4,1.4,1.4,5.0,1.4,2.8,1.4,4.8
100,53,3.8,1.3,4.4,3.9,2.7,1.1,2.1,4.3,2.1,1.6
100,98,1.1,1.4,1.5,4.3,1.0,1.8,1.0,1.0,2.0,3.6
100,90,1.4,2.6,1.8,1.1,3.8,2.1,3.3,1.1,1.1,1.1
