H,W,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10
779,875,1.0,1.3,5.2,7.3,1.8,3.7,4.3,6,4.9,3.8
884,982,1.3,3.8,2.1,1.3,6.6,5.2,3,4.5,9.1,4.2
901,754,1.1,4.3,5.8,1.7,5.2,5.6,3.1,3.7,4.6,1.7
776,983,1.2,1.3,9.9,3.4,4.0,5.9,2.6,6.1,6.1,6.2
870,792,8.5,6.9,2.5,2.1,9.2,9.4,9.1,3.4,5.3,3.5
881,908,7.2,3.6,8.7,1.1,1.1,2.2,3.5,6.4,7.2,5.3
937,862,1.2,1.7,5.1,1.2,5.4,9.3,4.7,4.6,6.9,9.5
779,976,3.4,1.0,1.5,4.0,1.1,1.1,1.5,8.7,6.7,5.7
948,876,1.0,1.3,2.8,7.9,9.1,1.7,1.1,9.7,6.4,2.7
960,850,4.7,1.9,1.1,1.0,4.7,7.1,3.2,9.6,2.2,8.6
867,972,4.8,2.6,4.9,1.4,4.9,4.9,8,5.7,9.1,1.6
963,948,1.1,6.5,5.3,5.3,3.2,8.9,3.7,6.3,4.2,7
995,820,1.8,1.5,1.0,8.4,1.1,4.6,6.3,5.1,9.1,8.9
989,971,2.3,1.0,7.4,2.3,3.7,9.8,6.3,5.9,6.5,9
901,878,5.3,2.1,2.5,1.5,9.4,7.8,6.7,9.3,7.1,2.1
781,780,1.2,9.0,2.1,5.8,8.5,1.6,5.3,9.3,1.5,4.4
825,838,9.0,5.9,1.5,7.1,6.2,9.9,5.8,8.4,6.2,8.4
860,914,5.6,7.4,2.2,2.7,2.1,8.6,4.3,9.2,5.9,9.2
763,818,2.4,4.9,2.2,2.1,1.3,9.4,5.2,8,6.1,8.1
799,925,3.7,3.8,1.1,8.2,1.1,2.8,7.5,8.8,7.9,5.5
806,779,5.5,8.0,5.4,1.6,8.5,6.7,2.1,6.5,6.8,1.4
858,924,7.5,1.5,6.5,1.0,8.0,1.4,5.6,6.5,4.8,2.5
882,844,8.5,9.9,1.0,8.8,3.4,4,6.7,3.8,8.9,6.7
846,825,1.6,4.8,2.9,4.6,3.4,9.4,9,8.6,3.9,3.9
989,758,6.8,7.9,1.8,4.3,1.1,5.2,5.5,1.5,1.8,7.7
997,818,7.8,8.1,5.3,8.6,2.5,8.4,5.8,4.9,4.9,4.6
881,838,1.5,1.0,1.5,8.8,5.9,5.6,4.5,3.7,6.2,5.9
787,887,2.9,1.9,2.3,4.7,6.9,2.1,2.5,6.7,9.5,6.3
929,862,1.0,4.8,2.8,1.4,4.6,3.1,4.5,2.6,5,5.4
801,846,3.5,2.2,2.6,1.6,2.8,3.8,4.5,8.7,8.5,2.3
899,866,3.4,2.9,1.0,4.5,5.7,8.6,9.7,5.2,8.8,5.6
911,905,5.8,1.2,4.3,7.7,1.0,4.7,7.2,5.1,5.6,2.6
777,855,1.1,2.8,2.7,4.5,2.2,8.9,3.2,3.7,4.8,3.1
824,775,4.2,1.3,9.4,8.0,1.1,9.6,2.5,6.3,7,3.2
935,916,4.3,3.2,6.7,1.3,2.1,9.3,3.8,8.5,2.5,4.3
795,868,6.2,9.0,3.1,1.0,4.2,9.5,1.7,5.5,1.3,4.1
862,879,1.0,1.9,7.6,2.5,4.0,1.4,7,7.5,7.4,9.6
835,907,7.3,6.3,1.7,1.8,7.1,5.2,8.4,9.9,1.7,6.6
959,949,1.0,2.0,2.4,6.8,8.2,7.5,7.5,5.2,2.7,3.6
898,769,7.1,1.0,6.5,1.0,1.2,1.7,3.7,1.8,6.8,9.9
848,921,3.7,1.0,1.0,1.2,2.0,4.7,4.7,2.9,7.2,1.8
892,800,8.7,1.6,5.3,6.2,10.0,9.2,2.2,3.3,8.6,2.6
944,989,2.0,6.0,1.9,2.3,5.3,5,4.2,8.7,4.9,7.5
951,960,3.9,1.3,3.0,8.9,2.8,9.6,3.4,1.1,4.9,2.5
762,874,4.3,5.2,7.1,1.9,1.7,7.6,7.6,5.3,2.8,9.6
847,809,4.1,8.0,10.0,2.3,1.1,8,7.7,8,1.8,3.6
819,905,5.8,4.6,4.8,8.2,3.6,3.2,5.7,4.6,2.5,1.1
786,874,9.5,1.5,1.5,5.0,3.1,7.1,3.6,1,2.7,6.5
888,867,3.2,1.1,8.1,1.4,2.7,5.5,4,3.5,9.3,5.8
789,871,4.0,7.7,5.2,3.1,2.8,4.8,1.4,5.5,4,3.3
909,811,2.7,3.0,1.8,8.1,1.0,4.2,6.5,3.9,9.3,7.4
916,810,2.5,7.4,1.9,7.6,1.0,1.8,7.9,1.6,8.4,4.4
842,970,9.5,1.0,8.6,4.9,3.1,1.8,1.6,4.4,5.3,1.2
939,814,1.1,7.6,1.7,3.4,3.6,5.1,2.6,4.5,8.2,4
833,780,8.2,1.1,7.7,8.5,6.3,1.5,3,1.2,8.4,2.1
885,811,4.5,1.2,7.1,1.0,5.4,9.8,5.1,8.9,6.6,2.8
781,963,4.4,7.6,5.6,4.7,5.2,9.7,1,5,3.4,3.3
978,904,1.1,1.0,2.8,4.5,1.9,2.9,8.3,10,5.4,6.1
920,954,1.0,4.7,7.4,6.3,1.0,6.2,3.7,3.8,8.6,4.3
865,913,2.5,1.3,8.2,8.9,1.1,2.6,5.2,3.7,2.7,1.4
900,894,3.4,6.8,2.4,1.8,2.7,1.3,6.6,3.2,7.1,6.8
973,993,1.0,1.6,1.0,3.5,6.5,9.3,7.6,5.1,3,7.6
936,856,2.2,3.5,7.1,6.1,2.0,5.6,9.2,5.1,9.3,8.4
810,945,1.0,4.9,2.1,1.9,8.3,1.7,5.1,2,3,3.1
767,769,5.2,4.0,9.8,1.5,1.0,4.8,3.2,9.4,6.4,5.5
987,801,5.8,5.6,6.4,6.2,1.1,9.2,6.8,1.9,7.8,7.8
809,897,3.1,4.0,1.0,8.9,4.2,4.9,3.3,8,6.1,6.3
997,764,1.8,1.5,9.7,2.5,4.4,1.4,5.9,3.4,2.3,1.4
892,836,1.1,2.2,1.8,1.2,2.1,2.7,8.1,8.5,8.2,3.8
837,823,8.4,1.0,2.2,2.0,1.2,9.4,1.3,5.7,5.7,1.9
957,998,1.4,3.2,9.2,1.0,6.2,5.3,6.9,5.9,2.1,7.3
814,784,1.1,4.6,2.1,3.8,6.8,5.2,3.3,1,7.1,9.8
773,822,1.0,2.6,1.6,6.5,6.8,3.9,1.8,9.8,5.7,3.1
986,783,1.2,2.1,3.3,3.9,1.0,8.6,3.3,6.1,7,9.2
992,900,4.2,4.3,3.0,5.0,4.2,7.4,7.9,2.5,9.2,8.6
762,849,1.7,1.7,2.8,8.4,1.4,4.8,1.6,8.4,2.6,7.6
855,977,3.3,3.8,1.1,1.2,4.3,2.6,6.4,8.2,6.2,6.4
807,877,1.0,1.4,1.8,1.7,1.1,7.6,4.8,7.8,2.3,1.2
954,906,5.1,5.0,1.5,1.1,2.5,8.2,8.8,7.9,4.2,6.9
784,764,9.4,1.0,1.0,1.1,5.5,7.9,7,5.7,8.6,6.4
928,832,1.0,4.2,3.7,6.9,6.2,7.5,1.9,5.3,3.4,2.2
844,757,1.7,4.4,4.7,3.1,8.7,6,1,2.2,2.1,8.4
891,923,1.8,5.5,1.6,9.6,1.9,8.3,3.4,2.1,5.2,4.8
909,980,1.3,1.0,1.8,1.6,1.0,1.6,6.7,6.3,8.7,2.2
975,990,8.3,7.4,7.2,3.1,8.3,7,4.5,9.2,5.2,3.8
912,979,2.0,7.9,1.6,3.0,3.9,4,1.9,9.5,8,8.3
856,918,2.3,4.5,6.1,8.6,1.6,8.2,1.4,5.4,4.9,5.9
856,930,3.2,9.6,9.0,2.6,2.4,4.7,4,3.5,6.6,3.5
780,972,4.5,1.6,9.8,1.0,1.1,7.1,2.1,3.9,2.9,10
797,987,9.9,3.2,8.3,5.4,1.4,7.7,8.8,7.7,8.8,6.9
935,791,2.6,6.7,4.9,8.2,1.3,1.1,8.5,2.5,3.4,6.2
927,839,1.9,2.4,9.6,7.1,2.8,3.4,6.2,2.8,5.8,1.6
970,927,3.0,2.1,7.5,6.3,2.1,8.8,9.7,3.3,9.3,8.6
889,914,5.0,3.5,9.7,7.4,2.4,8.2,1.6,2.7,1.5,8
760,962,3.1,2.6,6.8,7.8,7.3,2.7,1.5,8.6,8.1,9.3
753,860,7.3,2.2,1.6,2.1,6.3,1.7,5.9,8.4,5.5,1.8
962,885,5.0,6.4,3.2,4.8,3.5,9.2,4.5,2.1,6.6,1.3
896,916,4.6,2.7,6.5,2.3,1.2,6.6,2.5,3,6.8,9.6
795,755,2.6,4.8,1.6,2.2,3.9,5.1,4.4,8.9,2.4,3.1
